"Localidad";"Mes";"Año";"Produccion_mensual_M3"
"Ushuaia";12;"2013";982560
"Rio Grande";1;"2013";783962
"Rio Grande";2;"2013";700969
"Rio Grande";3;"2013";772440
"Rio Grande";4;"2013";736538
"Rio Grande";5;"2013";772680
"Rio Grande";6;"2013";741130
"Rio Grande";7;"2013";767541
"Rio Grande";8;"2013";789048
"Rio Grande";9;"2013";767197
"Rio Grande";10;"2013";792544
"Rio Grande";11;"2013";764703
"Rio Grande";12;"2013";756653
"Ushuaia";1;"2014";975514
"Ushuaia";2;"2014";903616
"Ushuaia";3;"2014";1006466
"Ushuaia";4;"2014";965141
"Ushuaia";5;"2014";1002286
"Ushuaia";6;"2014";980128
"Ushuaia";7;"2014";1015690
"Ushuaia";8;"2014";1015075
"Ushuaia";9;"2014";1002243
"Ushuaia";10;"2014";1051026
"Ushuaia";11;"2014";1018085
"Ushuaia";12;"2014";1038058
"Rio Grande";1;"2014";760804
"Rio Grande";2;"2014";714445
"Rio Grande";3;"2014";780957
"Rio Grande";4;"2014";764944
"Rio Grande";5;"2014";758557
"Rio Grande";6;"2014";750349
"Rio Grande";7;"2014";779528
"Rio Grande";8;"2014";808693
"Rio Grande";9;"2014";740115
"Rio Grande";10;"2014";791184
"Rio Grande";11;"2014";766692
"Rio Grande";12;"2014";785329
"Ushuaia";1;"2015";1050744
"Ushuaia";2;"2015";963261
"Ushuaia";3;"2015";1067027
"Ushuaia";4;"2015";1038390
"Ushuaia";5;"2015";1081527
"Ushuaia";6;"2015";1074114
"Ushuaia";7;"2015";1112966
"Ushuaia";8;"2015";1120206
"Ushuaia";9;"2015";1062618
"Ushuaia";10;"2015";1114314
"Ushuaia";11;"2015";1127358
"Ushuaia";12;"2015";1209474
"Rio Grande";1;"2015";791545
"Rio Grande";2;"2015";714034
"Rio Grande";3;"2015";783604
"Rio Grande";4;"2015";766692
"Rio Grande";5;"2015";786534
"Rio Grande";6;"2015";766692
"Rio Grande";7;"2015";766713
"Rio Grande";8;"2015";784820
"Rio Grande";9;"2015";763498
"Rio Grande";10;"2015";764562
"Rio Grande";11;"2015";758052
"Rio Grande";12;"2015";785861
"Ushuaia";1;"2016";1197047
"Ushuaia";2;"2016";1100842
"Ushuaia";3;"2016";1223056
"Ushuaia";4;"2016";1158869
"Ushuaia";5;"2016";1182159
"Ushuaia";6;"2016";1121403
"Ushuaia";7;"2016";1184606
"Ushuaia";8;"2016";1190078
"Ushuaia";9;"2016";1157718
"Ushuaia";10;"2016";1209918
"Ushuaia";11;"2016";1186339
"Ushuaia";12;"2016";1030590
"Rio Grande";1;"2016";792249
"Rio Grande";2;"2016";741136
"Rio Grande";3;"2016";780153
"Rio Grande";4;"2016";736653
"Rio Grande";5;"2016";770910
"Rio Grande";6;"2016";736557
"Rio Grande";7;"2016";735899
"Rio Grande";8;"2016";731650
"Rio Grande";9;"2016";766692
"Rio Grande";10;"2016";792248
"Rio Grande";11;"2016";780157
"Rio Grande";12;"2016";805883
"Ushuaia";1;"2017";1188575
"Ushuaia";2;"2017";1064167
"Ushuaia";3;"2017";1202181
"Ushuaia";4;"2017";1141733
"Ushuaia";5;"2017";1156035
"Ushuaia";6;"2017";1182001
"Ushuaia";7;"2017";1158766
"Ushuaia";8;"2017";1146297
"Ushuaia";9;"2017";1097038
"Ushuaia";10;"2017";1129467
"Ushuaia";11;"2017";1093412
"Ushuaia";12;"2017";1123852
"Rio Grande";1;"2017";792249
"Rio Grande";2;"2017";741136
"Rio Grande";3;"2017";802470
"Rio Grande";4;"2017";780835
"Rio Grande";5;"2017";805154
"Rio Grande";6;"2017";792195
"Rio Grande";7;"2017";789936
"Rio Grande";8;"2017";814739
"Rio Grande";9;"2017";782984
"Rio Grande";10;"2017";784102
"Rio Grande";11;"2017";780835
"Rio Grande";12;"2017";810238
"Ushuaia";1;"2018";-9
"Ushuaia";2;"2018";-9
"Ushuaia";3;"2018";-9
"Ushuaia";4;"2018";-9
"Ushuaia";5;"2018";-9
"Ushuaia";6;"2018";-9
"Ushuaia";7;"2018";-9
"Ushuaia";8;"2018";-9
"Ushuaia";9;"2018";-9
"Ushuaia";10;"2018";-9
"Ushuaia";11;"2018";-9
"Ushuaia";12;"2018";-9
"Rio Grande";1;"2018";805112
"Rio Grande";2;"2018";731828
"Rio Grande";3;"2018";809298
"Rio Grande";4;"2018";780759
"Rio Grande";5;"2018";805833
"Rio Grande";6;"2018";1050837
"Rio Grande";7;"2018";1108307
"Rio Grande";8;"2018";1038630
"Rio Grande";9;"2018";945289
"Rio Grande";10;"2018";-9
"Rio Grande";11;"2018";-9
"Rio Grande";12;"2018";-9
